Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount
C250909,P925841,2024,Aarav Williams,Summit Brokers,Motor Commercial,080,PSV,0804,Own Damage,19/03/2025,25/03/2025,09/05/2025,06/01/2025,05/11/2025,0,0,10500,10500,0,10500
C264611,P771935,2025,Arjun Williams,Broker One,Motor Private,070,Motor Private Third Party Only,0703,Injury To Third Part,01/03/2025,04/03/2025,06/05/2025,17/02/2025,16/02/2026,77500,0,0,77500,0,77500
C815623,P748155,2024,Maya Singh,Zeta Assurance,Fire Domestic,03,Domestic Package,030,Accidental Damage,15/01/2025,18/02/2025,28/05/2025,18/11/2024,17/11/2025,71000,0,0,71000,0,71000
C938539,P395445,2023,Raj Brown,Lambda Insurance Group,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,63211,0,0,63211,0,63211
C778124,P592218,2023,Isla Smith,Beta Risk Partners,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,92590,0,0,92590,0,92590
C662518,P806967,2023,Leo Fernandez,Gamma Insurance Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,111264,0,0,111264,0,111264
C397095,P650554,2024,Yusuf Hughes,Taurus Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,20/12/2024,02/04/2025,30/05/2025,02/12/2024,01/01/2025,5500,0,0,5500,0,5500
C846408,P495883,2024,Aisha Hughes,Gamma Insurance Brokers,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,19731,0,0,19731,0,19731
C950967,P676991,2024,Amelia Begum,Broker One,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,55957,0,0,55957,0,55957
C913451,P159937,2024,Isla Singh,Broker Two,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,192887,0,0,192887,0,192887
C258440,P339418,2024,Omar Taylor,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/11/2024,06/11/2024,29/04/2025,01/11/2024,21/08/2025,196800,0,0,196800,0,196800
C491288,P101859,2023,Noah Roberts,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/10/2023,12/10/2023,29/04/2025,23/05/2023,22/03/2024,521131,0,0,521131,0,521131
C669409,P637199,2024,Leila Sharma,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/04/2024,23/04/2024,29/04/2025,03/04/2024,02/04/2025,765430,0,0,765430,0,765430
C750451,P474708,2023,Isla Ahmed,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/12/2023,18/12/2023,29/04/2025,21/06/2023,20/06/2024,519200,0,0,519200,0,519200
C433270,P658409,2024,Leo Patel,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/05/2024,16/05/2024,29/04/2025,02/03/2024,01/03/2025,850320,0,0,850320,590075,260245
C277459,P241805,2023,Sophia Thompson,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,11/10/2023,18/10/2023,30/04/2025,05/02/2023,04/12/2023,778010,0,0,778010,0,778010
C632666,P805384,2023,Ethan Gupta,Vertex Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,09/02/2024,12/02/2024,30/04/2025,28/12/2023,27/12/2024,952320,0,0,952320,0,952320
C195898,P803836,2024,Noah Gupta,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/03/2024,08/03/2024,30/04/2025,30/11/2023,29/11/2024,701250,0,0,701250,0,701250
C840871,P957268,2023,Amelia Smith,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/01/2024,15/01/2024,10/04/2025,09/06/2023,08/06/2024,5100,0,0,5100,0,5100
C961478,P243989,2024,Omar Roberts,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/01/2025,29/01/2025,09/05/2025,26/11/2024,25/11/2025,0,0,12000,12000,0,12000
C401769,P200405,2024,Amelia Williams,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,03/02/2025,05/02/2025,09/05/2025,07/06/2024,06/04/2025,0,0,27000,27000,0,27000
C186522,P540579,2024,Isla Lewis,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/02/2025,06/02/2025,09/05/2025,13/07/2024,12/05/2025,0,0,15500,15500,0,15500
C580640,P871620,2024,Ethan Wilson,Orion Risk Partners,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,21/12/2024,09/01/2025,09/05/2025,27/09/2024,26/09/2025,0,0,16500,16500,0,16500
C238492,P939632,2024,Fatima Singh,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,08/01/2025,15/01/2025,09/05/2025,19/09/2024,01/04/2025,0,0,16000,16000,0,16000
C286223,P203521,2024,Leila Ahmed,Sigma Risk Advisors,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,08/02/2025,10/02/2025,09/05/2025,11/11/2024,10/09/2025,0,0,13000,13000,0,13000
C695418,P645529,2024,Priya Lewis,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/12/2024,17/12/2024,07/05/2025,16/05/2024,15/05/2025,0,0,6650,6650,0,6650
C353434,P230076,2021,Mateo Davies,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/12/2021,25/03/2022,09/05/2025,27/11/2021,27/12/2021,0,0,146400,146400,0,146400
C829174,P357482,2024,Daniel Hughes,Epsilon Underwriters,Motor Commercial,080,PSV,0804,Accidental Damage,05/12/2024,09/12/2024,12/05/2025,06/11/2024,05/12/2024,0,0,3020,3020,0,3020
C113935,P451489,2024,Noah Ahmed,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/02/2025,03/02/2025,06/05/2025,16/10/2024,15/10/2025,0,0,3140,3140,0,3140
C342702,P418971,2024,Daniel Roberts,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/12/2024,10/12/2024,13/05/2025,01/07/2024,30/06/2025,0,0,301500,301500,0,301500
C650746,P713588,2024,Zara Brown,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2025,04/03/2025,20/05/2025,30/03/2024,29/03/2025,0,0,104300,104300,0,104300
C501059,P711668,2024,Fatima Roberts,Pegasus Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Injury To Third Part,17/10/2024,25/10/2024,07/05/2025,01/01/2024,31/12/2024,0,0,39700,39700,0,39700
C989742,P990880,2024,Fatima Patel,Vertex Insurance,Fire Industrial,04,Fire and Allied Perils,040,Floods,24/03/2024,25/03/2024,07/05/2025,01/01/2024,01/01/2025,4400000,0,0," 4,400,000.00 ",3876190.12,523809.88
C186998,P388709,2024,Maya Hall,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/11/2024,03/11/2024,16/06/2025,10/07/2024,09/07/2025,0,0,183760,183760,0,183760
C406025,P827978,2024,Maya Smith,Orion Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/02/2025,26/02/2025,28/05/2025,06/12/2024,31/03/2025,0,0,128660,128660,0,128660
C788768,P205091,2024,Aisha Fernandez,Beta Risk Partners,Motor Commercial,080,PSV,0804,Own Damage,25/12/2024,02/01/2025,08/05/2025,29/04/2024,28/04/2025,0,0,553220,553220,0,553220
C339953,P249646,2024,Ethan Smith,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/12/2024,03/01/2025,14/05/2025,23/03/2024,22/03/2025,0,0,130887,130887,0,130887
C910890,P286632,2024,Ella Davies,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/09/2024,20/09/2024,08/05/2025,01/01/2024,31/12/2024,0,0,44660,44660,0,44660
C692142,P301820,2024,Sophia Thompson,Atlas Insurance,Engineering,02,Machinery Breakdown,023,Accidental damage,09/04/2024,23/04/2024,08/05/2025,01/03/2024,28/02/2025,0,0,262740,262740,0,262740
C240097,P235973,2024,Yusuf Williams,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/01/2025,20/01/2025,20/06/2025,13/02/2024,12/02/2025,0,0,708370,708370,0,708370
C155985,P385731,2022,Fatima Roberts,Atlas Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Fatal injury,14/05/2023,15/05/2023,08/05/2025,01/08/2022,31/07/2023,565440,0,0,565440,565440,0
C902346,P749431,2024,Leila Johnson,Taurus Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,12/12/2024,12/12/2024,20/06/2025,14/04/2024,13/04/2025,0,0,425720,425720,0,425720
C602084,P652581,2006,Aarav Hughes,Lambda Insurance Group,Work Injury Benefits,11,Employers Liability (Common Law),113,Own Damage,19/04/2012,13/08/2012,09/05/2025,19/01/2006,18/01/2007,0,0,30000,30000,0,30000
C924000,P617012,2023,Nina Ahmed,Theta Insurance,Motor Private,070,Motor Cycle Comprehensive,0701,Accidental Damage,09/11/2023,16/04/2024,09/05/2025,29/06/2023,28/06/2024,0,0,35000,35000,0,35000
C122999,P298163,2025,Priya Lewis,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/03/2025,26/03/2025,09/05/2025,02/02/2025,01/02/2026,4640,0,0,4640,0,4640
C618521,P155630,2024,Raj Williams,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,19/02/2025,19/02/2025,09/05/2025,23/02/2024,22/02/2025,0,0,30000,30000,0,30000
C260957,P619505,2024,Nina Khan,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/10/2024,28/10/2024,09/05/2025,21/01/2024,20/01/2025,0,0,50000,50000,0,50000
C273725,P376298,2024,David Sharma,Epsilon Underwriters,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,21/02/2025,25/02/2025,12/05/2025,29/11/2024,28/09/2025,0,0,2900,2900,0,2900
C440736,P403081,2023,Mateo Sharma,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/02/2024,07/03/2024,15/05/2025,18/10/2023,17/10/2024,0,0,30000,30000,0,30000
C239609,P397054,2006,Yusuf Hughes,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/12/2006,02/01/2007,15/05/2025,29/10/2006,28/10/2007,0,0,191220,191220,0,191220
C899892,P349626,2024,Priya Williams,Atlas Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,17/12/2024,18/12/2024,09/05/2025,19/02/2024,31/12/2024,0,0,2900,2900,0,2900
C271686,P869357,2024,Zara Williams,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,23/02/2025,25/02/2025,09/05/2025,19/04/2024,18/04/2025,0,0,6380,6380,0,6380
C667541,P941453,2024,Priya Begum,Atlas Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,29/03/2025,02/04/2025,09/05/2025,11/04/2024,10/04/2025,0,0,6380,6380,0,6380
C877316,P449222,2019,Fatima Gupta,Alpha Insurance Agency,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,02/06/2019,04/06/2019,15/05/2025,01/01/2019,31/12/2019,0,0,144200,144200,0,144200
C799891,P571584,2023,Fatima Shah,Vertex Insurance,Motor Commercial,080,General Cartage,0807,Accidental Damage,15/09/2023,27/10/2023,22/05/2025,01/07/2023,30/06/2024,0,0,296280,296280,0,296280
C987627,P244985,2024,Lucas Gupta,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/03/2025,07/03/2025,13/05/2025,04/04/2024,03/04/2025,0,0,158472,158472,0,158472
C525373,P271531,2023,Ethan Lewis,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/06/2023,06/06/2023,20/06/2025,07/02/2023,06/02/2024,0,0,35250,35250,0,35250
C128917,P997978,2024,Zara Hall,Gamma Insurance Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/03/2025,11/03/2025,20/05/2025,27/07/2024,26/07/2025,0,0,117640,117640,0,117640
C363179,P290006,2024,Aarav Brown,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/04/2025,28/04/2025,11/06/2025,16/08/2024,15/08/2025,16372,0,0,16372,0,16372
C819665,P685413,2025,Omar Miller,Zeta Assurance,Work Injury Benefits,11,WIBA Plus,114,Injury to worker,13/05/2025,14/05/2025,20/05/2025,01/04/2025,31/03/2026,37821,0,0,37821,0,37821
C581617,P362852,2025,Noah Taylor,Alpha Insurance Agency,Work Injury Benefits,11,WIBA Plus,114,Injury to worker,13/05/2025,14/05/2025,30/05/2025,01/04/2025,31/03/2026,52949,0,0,52949,0,52949
C337699,P942451,2024,Aisha Hall,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,21/01/2025,22/01/2025,03/06/2025,15/09/2024,14/08/2025,488615,0,0,488615,0,488615
C902586,P799860,2024,Ethan Roberts,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/04/2025,08/04/2025,10/06/2025,04/05/2024,03/05/2025,884395,0,0,884395,0,884395
C444206,P893217,2018,Leila Brown,Pioneer Underwriters,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,03/11/2018,30/11/2018,26/05/2025,12/08/2018,11/08/2019,0,0,35600,35600,0,35600
C274762,P883664,2023,Raj Davies,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/03/2023,13/03/2023,28/05/2025,29/01/2023,27/12/2023,0,0,77200,77200,0,77200
C558280,P694171,2022,Isla Ali,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,24/06/2022,27/09/2022,26/05/2025,03/06/2022,03/07/2022,0,0,204150,204150,0,204150
C347378,P300224,2022,Noah Roberts,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,11/08/2022,12/08/2022,16/06/2025,02/02/2022,01/02/2023,0,0,153080,153080,0,153080
C963134,P755204,2024,Raj Ahmed,Pioneer Underwriters,Fire Domestic,03,Domestic Contents,031,Accidental Damage,19/05/2024,15/11/2024,05/06/2025,04/04/2024,03/04/2025,500000,0,0,500000,0,500000
C403739,P494870,2024,Aisha Fernandez,Delta Coverage Ltd,Engineering,02,Contractors' All Risks,020,Accidental Damage,30/08/2024,04/09/2024,29/05/2025,01/07/2024,31/07/2027,7785269,0,0,7785269,3785269.01,3999999.99
C936728,P206466,2023,Yusuf Williams,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/04/2024,09/04/2024,30/05/2025,01/09/2023,01/09/2024,941512,0,0,941512,0,941512
C741730,P908516,2023,Ethan Brown,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/04/2024,09/04/2024,30/05/2025,01/09/2023,01/09/2024,941512,0,0,941512,0,941512
C255411,P179017,2024,Isla Gupta,Lambda Insurance Group,Marine,06,Marine Cargo,061,Accidental Damage,04/04/2024,09/04/2024,30/05/2025,28/03/2024,26/06/2024,615752,0,0,615752,0,615752
C859573,P329964,2023,Raj Roberts,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,31/12/2023,03/01/2024,30/05/2025,14/12/2023,13/12/2024,119700,0,0,119700,0,119700
C275075,P318639,2024,Ella Brown,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/01/2025,02/01/2025,10/06/2025,05/09/2024,04/08/2025,0,0,13920,13920,0,13920
C252313,P146713,2023,Fatima Khan,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,04/09/2023,07/09/2023,10/06/2025,27/01/2023,26/01/2024,0,0,104416,104416,0,104416
C961470,P915344,2024,Leo Hughes,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/04/2025,23/04/2025,10/06/2025,29/09/2024,28/07/2025,0,0,225520,225520,0,225520
C679914,P693441,2024,Fatima Hall,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/02/2025,06/02/2025,10/06/2025,29/02/2024,28/02/2025,0,0,648904,648904,0,648904
C486514,P237658,2023,Aarav Hughes,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/07/2024,17/07/2024,18/06/2025,09/10/2023,08/10/2024,0,0,200812,200812,0,200812
C643001,P752108,2024,Daniel Johnson,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/10/2024,11/10/2024,05/06/2025,25/09/2024,24/10/2024,0,0,30000,30000,0,30000
C936652,P422759,2024,Aisha Thompson,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/10/2024,11/10/2024,05/06/2025,25/09/2024,24/10/2024,0,0,30000,30000,0,30000
C666762,P278597,2015,Yusuf Miller,Delta Coverage Ltd,Miscellaneous,12,Performance Bond,127,Own Damage,02/11/2015,17/02/2016,10/06/2025,03/07/2015,02/07/2016,0,0,278510,278510,222808,55702
C802143,P650413,2025,Ella Lewis,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,14/03/2025,28/03/2025,16/06/2025,23/01/2025,22/01/2026,0,0,73660,73660,0,73660
C931800,P293753,2024,Fatima Ahmed,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,04/02/2025,05/02/2025,11/06/2025,22/04/2024,21/04/2025,104690,0,0,104690,0,104690
C915732,P719687,2024,Yusuf Johnson,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/12/2024,28/01/2025,16/06/2025,18/04/2024,17/04/2025,0,0,76560,76560,0,76560
C511766,P279703,2024,Aisha Williams,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/01/2025,12/02/2025,16/06/2025,27/03/2024,26/03/2025,0,0,241528,241528,0,241528
C240900,P561862,2024,Yusuf Taylor,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/01/2025,13/01/2025,10/06/2025,05/06/2024,05/04/2025,0,0,494060,494060,0,494060
C680833,P964398,2024,Maya Begum,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/03/2025,19/03/2025,10/06/2025,02/04/2024,01/04/2025,0,0,55100,55100,0,55100
C853040,P448023,2024,Nina Fernandez,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/11/2024,19/11/2024,18/06/2025,09/07/2024,08/07/2025,0,0,407400,407400,0,407400
C555706,P649398,2022,Arjun Singh,Broker Three,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,23/09/2022,30/09/2022,09/06/2025,01/03/2022,28/02/2023,257806,0,0,257806,257806,0
C893342,P195993,2023,Leo Brown,Broker One,Marine,06,Marine Cargo,061,Damage To Goods,09/10/2023,23/10/2023,10/06/2025,04/10/2023,03/01/2024,58474,0,0,58474,58474,0
C959144,P698322,2025,Yusuf Thompson,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,17/01/2025,04/06/2025,16/06/2025,02/01/2025,01/01/2026,33060,0,0,33060,0,33060
C107203,P652904,2025,Nina Wilson,Vertex Insurance,Motor Private,070,Motor Private Third Party Only,0703,Injury To Third Part,01/03/2025,04/03/2025,10/06/2025,17/02/2025,16/02/2026,63000,0,0,63000,0,63000
C807778,P264347,2019,Arjun Davies,Broker One,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,02/06/2019,04/06/2019,10/06/2025,01/01/2019,31/12/2019,0,0,134025,134025,0,134025
C158322,P615571,2025,Lucas Khan,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,13/04/2025,25/04/2025,16/06/2025,04/04/2025,03/04/2026,250000,0,0,250000,0,250000
C110268,P908285,2025,Omar Johnson,Zeta Assurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,27/05/2025,03/06/2025,11/06/2025,01/01/2025,31/12/2025,28500,0,0,28500,0,28500
C813437,P242773,2024,Mateo Miller,Summit Brokers,Motor Commercial,080,Motor Commercial Third Party,0808,Third Party Property,26/03/2025,28/03/2025,27/06/2025,01/07/2024,30/06/2025,0,0,34200,34200,0,34200
C436250,P140787,2024,Mateo Miller,Pioneer Underwriters,Motor Commercial,080,Motor Commercial Third Party,0808,Injury To Third Part,15/02/2025,17/02/2025,27/06/2025,01/07/2024,30/06/2025,0,0,40450,40450,0,40450
C597774,P413818,2024,Yusuf Thompson,Sigma Risk Advisors,Work Injury Benefits,11,Work Injury Benefits Act,112,Injury to worker,02/07/2024,19/07/2024,11/06/2025,28/01/2024,27/01/2025,495000,0,0,495000,0,495000
C461576,P576989,2024,Ella Smith,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,13/01/2025,23/01/2025,20/06/2025,12/04/2024,11/02/2025,27000,0,0,27000,0,27000
C694173,P486695,2024,Lucas Johnson,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/04/2025,22/04/2025,13/06/2025,22/06/2024,21/06/2025,0,0,1108058,1108058,0,1108058
C597514,P655380,2024,Isla Shah,Summit Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,19/03/2025,20/03/2025,20/06/2025,28/08/2024,27/08/2025,0,0,26160,26160,0,26160
C449650,P225544,2025,Isla Begum,Horizon Brokers,Theft,10,Fidelity Guarantee,101,Theft,03/01/2025,29/01/2025,24/06/2025,01/01/2025,31/12/2025,0,0,48140,48140,0,48140
C105912,P309659,2021,Isla Williams,Broker One,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,30/11/2021,30/11/2021,16/06/2025,01/06/2021,31/05/2022,0,0,831089,831089,0,831089
C533218,P264350,2013,Sophia Williams,Epsilon Underwriters,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,25/05/2014,16/05/2016,20/06/2025,27/05/2013,26/05/2014,0,0,12151,12151,0,12151
C681748,P922616,2024,Ella Hughes,Delta Coverage Ltd,Motor Commercial,080,PSV,0804,Own Damage,06/03/2025,18/03/2025,20/06/2025,19/11/2024,18/11/2025,0,0,18300,18300,0,18300
C929210,P177169,2024,Amelia Hughes,Gamma Insurance Brokers,Theft,10,All Risks,103,Accidental Damage,07/03/2025,15/04/2025,24/06/2025,16/05/2024,15/05/2025,0,0,46980,46980,0,46980
C130252,P622342,2021,Aisha Smith,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/11/2021,01/08/2022,20/06/2025,20/10/2021,19/11/2021,0,0,39600,39600,0,39600
C552296,P528482,2024,Maya Ahmed,Alpha Insurance Agency,Marine,06,Goods- in- Transit,062,Theft of goods,15/04/2025,16/04/2025,19/06/2025,03/06/2024,04/06/2025,2076423,0,0,2076423,0,2076423
C713542,P923810,2023,Noah Hughes,Lambda Insurance Group,Fire Industrial,04,Industrial All Risks,042,Floods,27/03/2023,27/03/2023,19/06/2025,01/01/2023,01/01/2024,3000630,0,0," 3,000,630.00 ",2823287.97,177342.03
