Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount,Claim No Check,Policy No Check,Class Check,Date Reasonability,Gross=Net+Reinsurance
C950967,P676991,2024.0,Amelia Begum,Broker One,Motor Commercial,80,General Cartage,807,Accidental Damage,2025-01-29,2025-02-07,2025-05-02,2024-12-17,2025-04-20,55957,0,0,55957.0,0.0,55957.0,OK,OK,OK,OK,OK
C913451,P159937,2024.0,Isla Singh,Broker Two,Motor Commercial,80,General Cartage,807,Accidental Damage,2025-01-29,2025-02-07,2025-05-02,2024-12-17,2025-04-20,192887,0,0,192887.0,0.0,192887.0,OK,OK,OK,OK,OK
C258440,P339418,2024.0,Omar Taylor,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-05,2024-11-06,2025-04-29,2024-11-01,2025-08-21,196800,0,0,196800.0,0.0,196800.0,OK,OK,OK,OK,OK
C491288,P101859,2023.0,Noah Roberts,Lambda Insurance Group,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-10-07,2023-10-12,2025-04-29,2023-05-23,2024-03-22,521131,0,0,521131.0,0.0,521131.0,OK,OK,OK,OK,OK
C669409,P637199,2024.0,Leila Sharma,Delta Coverage Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-04-19,2024-04-23,2025-04-29,2024-04-03,2025-04-02,765430,0,0,765430.0,0.0,765430.0,OK,OK,OK,OK,OK
C750451,P474708,2023.0,Isla Ahmed,Horizon Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-12-17,2023-12-18,2025-04-29,2023-06-21,2024-06-20,519200,0,0,519200.0,0.0,519200.0,OK,OK,OK,OK,OK
C433270,P658409,2024.0,Leo Patel,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-05-02,2024-05-16,2025-04-29,2024-03-02,2025-03-01,850320,0,0,850320.0,590075.0,260245.0,OK,OK,OK,OK,OK
C277459,P241805,2023.0,Sophia Thompson,Summit Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-10-11,2023-10-18,2025-04-30,2023-02-05,2023-12-04,778010,0,0,778010.0,0.0,778010.0,OK,OK,OK,OK,OK
C632666,P805384,2023.0,Ethan Gupta,Vertex Insurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-02-09,2024-02-12,2025-04-30,2023-12-28,2024-12-27,952320,0,0,952320.0,0.0,952320.0,OK,OK,OK,OK,OK
C195898,P803836,2024.0,Noah Gupta,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-03-03,2024-03-08,2025-04-30,2023-11-30,2024-11-29,701250,0,0,701250.0,0.0,701250.0,OK,OK,OK,OK,OK
C840871,P957268,2023.0,Amelia Smith,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-01-12,2024-01-15,2025-04-10,2023-06-09,2024-06-08,5100,0,0,5100.0,0.0,5100.0,OK,OK,OK,OK,OK
C961478,P243989,2024.0,Omar Roberts,Broker Two,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-26,2025-01-29,2025-05-09,2024-11-26,2025-11-25,0,0,12000,12000.0,0.0,12000.0,OK,OK,OK,CHECK,OK
C401769,P200405,2024.0,Amelia Williams,Vertex Insurance,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2025-02-03,2025-02-05,2025-05-09,2024-06-07,2025-04-06,0,0,27000,27000.0,0.0,27000.0,OK,OK,OK,OK,OK
C186522,P540579,2024.0,Isla Lewis,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-05,2025-02-06,2025-05-09,2024-07-13,2025-05-12,0,0,15500,15500.0,0.0,15500.0,OK,OK,OK,OK,OK
C580640,P871620,2024.0,Ethan Wilson,Orion Risk Partners,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-12-21,2025-01-09,2025-05-09,2024-09-27,2025-09-26,0,0,16500,16500.0,0.0,16500.0,OK,OK,OK,CHECK,OK
C238492,P939632,2024.0,Fatima Singh,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-08,2025-01-15,2025-05-09,2024-09-19,2025-04-01,0,0,16000,16000.0,0.0,16000.0,OK,OK,OK,OK,OK
C286223,P203521,2024.0,Leila Ahmed,Sigma Risk Advisors,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2025-02-08,2025-02-10,2025-05-09,2024-11-11,2025-09-10,0,0,13000,13000.0,0.0,13000.0,OK,OK,OK,CHECK,OK
C695418,P645529,2024.0,Priya Lewis,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-16,2024-12-17,2025-05-07,2024-05-16,2025-05-15,0,0,6650,6650.0,0.0,6650.0,OK,OK,OK,OK,OK
C353434,P230076,2021.0,Mateo Davies,Sigma Risk Advisors,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2021-12-26,2022-03-25,2025-05-09,2021-11-27,2021-12-27,0,0,146400,146400.0,0.0,146400.0,OK,OK,OK,OK,OK
C829174,P357482,2024.0,Daniel Hughes,Epsilon Underwriters,Motor Commercial,80,PSV,804,Accidental Damage,2024-12-05,2024-12-09,2025-05-12,2024-11-06,2024-12-05,0,0,3020,3020.0,0.0,3020.0,OK,OK,OK,OK,OK
C113935,P451489,2024.0,Noah Ahmed,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-02,2025-02-03,2025-05-06,2024-10-16,2025-10-15,0,0,3140,3140.0,0.0,3140.0,OK,OK,OK,CHECK,OK
C342702,P418971,2024.0,Daniel Roberts,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-09,2024-12-10,2025-05-13,2024-07-01,2025-06-30,0,0,301500,301500.0,0.0,301500.0,OK,OK,OK,OK,OK
C650746,P713588,2024.0,Zara Brown,Horizon Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-26,2025-03-04,2025-05-20,2024-03-30,2025-03-29,0,0,104300,104300.0,0.0,104300.0,OK,OK,OK,OK,OK
C501059,P711668,2024.0,Fatima Roberts,Pegasus Insurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Injury To Third Part,2024-10-17,2024-10-25,2025-05-07,2024-01-01,2024-12-31,0,0,39700,39700.0,0.0,39700.0,OK,OK,OK,OK,OK
C989742,P990880,2024.0,Fatima Patel,Vertex Insurance,Fire Industrial,4,Fire and Allied Perils,40,Floods,2024-03-24,2024-03-25,2025-05-07,2024-01-01,2025-01-01,4400000,0,0,,3876190.12,523809.88,OK,OK,OK,OK,CHECK
C186998,P388709,2024.0,Maya Hall,Gamma Insurance Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-11-03,2024-11-03,2025-06-16,2024-07-10,2025-07-09,0,0,183760,183760.0,0.0,183760.0,OK,OK,OK,OK,OK
C406025,P827978,2024.0,Maya Smith,Orion Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-12,2025-02-26,2025-05-28,2024-12-06,2025-03-31,0,0,128660,128660.0,0.0,128660.0,OK,OK,OK,OK,OK
C788768,P205091,2024.0,Aisha Fernandez,Beta Risk Partners,Motor Commercial,80,PSV,804,Own Damage,2024-12-25,2025-01-02,2025-05-08,2024-04-29,2025-04-28,0,0,553220,553220.0,0.0,553220.0,OK,OK,OK,OK,OK
C339953,P249646,2024.0,Ethan Smith,Theta Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-26,2025-01-03,2025-05-14,2024-03-23,2025-03-22,0,0,130887,130887.0,0.0,130887.0,OK,OK,OK,OK,OK
C910890,P286632,2024.0,Ella Davies,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-09-20,2024-09-20,2025-05-08,2024-01-01,2024-12-31,0,0,44660,44660.0,0.0,44660.0,OK,OK,OK,OK,OK
C692142,P301820,2024.0,Sophia Thompson,Atlas Insurance,Engineering,2,Machinery Breakdown,23,Accidental damage,2024-04-09,2024-04-23,2025-05-08,2024-03-01,2025-02-28,0,0,262740,262740.0,0.0,262740.0,OK,OK,OK,OK,OK
C240097,P235973,2024.0,Yusuf Williams,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-19,2025-01-20,2025-06-20,2024-02-13,2025-02-12,0,0,708370,708370.0,0.0,708370.0,OK,OK,OK,OK,OK
C155985,P385731,2022.0,Fatima Roberts,Atlas Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Fatal injury,2023-05-14,2023-05-15,2025-05-08,2022-08-01,2023-07-31,565440,0,0,565440.0,565440.0,0.0,OK,OK,OK,OK,OK
C902346,P749431,2024.0,Leila Johnson,Taurus Brokers,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-12-12,2024-12-12,2025-06-20,2024-04-14,2025-04-13,0,0,425720,425720.0,0.0,425720.0,OK,OK,OK,OK,OK
C602084,P652581,2006.0,Aarav Hughes,Lambda Insurance Group,Work Injury Benefits,11,Employers Liability (Common Law),113,Own Damage,2012-04-19,2012-08-13,2025-05-09,2006-01-19,2007-01-18,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,CHECK,OK
C924000,P617012,2023.0,Nina Ahmed,Theta Insurance,Motor Private,70,Motor Cycle Comprehensive,701,Accidental Damage,2023-11-09,2024-04-16,2025-05-09,2023-06-29,2024-06-28,0,0,35000,35000.0,0.0,35000.0,OK,OK,OK,OK,OK
C122999,P298163,2025.0,Priya Lewis,Eta Risk Solutions,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-18,2025-03-26,2025-05-09,2025-02-02,2026-02-01,4640,0,0,4640.0,0.0,4640.0,OK,OK,OK,CHECK,OK
C618521,P155630,2024.0,Raj Williams,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Windscreen Damage,2025-02-19,2025-02-19,2025-05-09,2024-02-23,2025-02-22,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C260957,P619505,2024.0,Nina Khan,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-17,2024-10-28,2025-05-09,2024-01-21,2025-01-20,0,0,50000,50000.0,0.0,50000.0,OK,OK,OK,OK,OK
C273725,P376298,2024.0,David Sharma,Epsilon Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2025-02-21,2025-02-25,2025-05-12,2024-11-29,2025-09-28,0,0,2900,2900.0,0.0,2900.0,OK,OK,OK,CHECK,OK
C440736,P403081,2023.0,Mateo Sharma,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-02-26,2024-03-07,2025-05-15,2023-10-18,2024-10-17,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C239609,P397054,2006.0,Yusuf Hughes,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2006-12-14,2007-01-02,2025-05-15,2006-10-29,2007-10-28,0,0,191220,191220.0,0.0,191220.0,OK,OK,OK,OK,OK
C899892,P349626,2024.0,Priya Williams,Atlas Insurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2024-12-17,2024-12-18,2025-05-09,2024-02-19,2024-12-31,0,0,2900,2900.0,0.0,2900.0,OK,OK,OK,OK,OK
C271686,P869357,2024.0,Zara Williams,Taurus Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-23,2025-02-25,2025-05-09,2024-04-19,2025-04-18,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C667541,P941453,2024.0,Priya Begum,Atlas Insurance,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2025-03-29,2025-04-02,2025-05-09,2024-04-11,2025-04-10,0,0,6380,6380.0,0.0,6380.0,OK,OK,OK,OK,OK
C877316,P449222,2019.0,Fatima Gupta,Alpha Insurance Agency,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2019-06-02,2019-06-04,2025-05-15,2019-01-01,2019-12-31,0,0,144200,144200.0,0.0,144200.0,OK,OK,OK,OK,OK
C799891,P571584,2023.0,Fatima Shah,Vertex Insurance,Motor Commercial,80,General Cartage,807,Accidental Damage,2023-09-15,2023-10-27,2025-05-22,2023-07-01,2024-06-30,0,0,296280,296280.0,0.0,296280.0,OK,OK,OK,OK,OK
C987627,P244985,2024.0,Lucas Gupta,Summit Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-06,2025-03-07,2025-05-13,2024-04-04,2025-04-03,0,0,158472,158472.0,0.0,158472.0,OK,OK,OK,OK,OK
C525373,P271531,2023.0,Ethan Lewis,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-06-02,2023-06-06,2025-06-20,2023-02-07,2024-02-06,0,0,35250,35250.0,0.0,35250.0,OK,OK,OK,OK,OK
C128917,P997978,2024.0,Zara Hall,Gamma Insurance Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-10,2025-03-11,2025-05-20,2024-07-27,2025-07-26,0,0,117640,117640.0,0.0,117640.0,OK,OK,OK,OK,OK
C363179,P290006,2024.0,Aarav Brown,Zeta Assurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-04-25,2025-04-28,2025-06-11,2024-08-16,2025-08-15,16372,0,0,16372.0,0.0,16372.0,OK,OK,OK,OK,OK
C819665,P685413,2025.0,Omar Miller,Zeta Assurance,Work Injury Benefits,11,WIBA Plus,114,Injury to worker,2025-05-13,2025-05-14,2025-05-20,2025-04-01,2026-03-31,37821,0,0,37821.0,0.0,37821.0,OK,OK,OK,CHECK,OK
C581617,P362852,2025.0,Noah Taylor,Alpha Insurance Agency,Work Injury Benefits,11,WIBA Plus,114,Injury to worker,2025-05-13,2025-05-14,2025-05-30,2025-04-01,2026-03-31,52949,0,0,52949.0,0.0,52949.0,OK,OK,OK,CHECK,OK
C337699,P942451,2024.0,Aisha Hall,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-21,2025-01-22,2025-06-03,2024-09-15,2025-08-14,488615,0,0,488615.0,0.0,488615.0,OK,OK,OK,OK,OK
C902586,P799860,2024.0,Ethan Roberts,Vertex Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-04-06,2025-04-08,2025-06-10,2024-05-04,2025-05-03,884395,0,0,884395.0,0.0,884395.0,OK,OK,OK,OK,OK
C444206,P893217,2018.0,Leila Brown,Pioneer Underwriters,Motor Commercial,80,Motor Commercial Comprehensive,800,Own Damage,2018-11-03,2018-11-30,2025-05-26,2018-08-12,2019-08-11,0,0,35600,35600.0,0.0,35600.0,OK,OK,OK,OK,OK
C274762,P883664,2023.0,Raj Davies,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-03-06,2023-03-13,2025-05-28,2023-01-29,2023-12-27,0,0,77200,77200.0,0.0,77200.0,OK,OK,OK,OK,OK
C558280,P694171,2022.0,Isla Ali,Pegasus Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2022-06-24,2022-09-27,2025-05-26,2022-06-03,2022-07-03,0,0,204150,204150.0,0.0,204150.0,OK,OK,OK,OK,OK
C347378,P300224,2022.0,Noah Roberts,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2022-08-11,2022-08-12,2025-06-16,2022-02-02,2023-02-01,0,0,153080,153080.0,0.0,153080.0,OK,OK,OK,OK,OK
C963134,P755204,2024.0,Raj Ahmed,Pioneer Underwriters,Fire Domestic,3,Domestic Contents,31,Accidental Damage,2024-05-19,2024-11-15,2025-06-05,2024-04-04,2025-04-03,500000,0,0,500000.0,0.0,500000.0,OK,OK,OK,OK,OK
C403739,P494870,2024.0,Aisha Fernandez,Delta Coverage Ltd,Engineering,2,Contractors' All Risks,20,Accidental Damage,2024-08-30,2024-09-04,2025-05-29,2024-07-01,2027-07-31,7785269,0,0,7785269.0,3785269.01,3999999.99,OK,OK,OK,CHECK,OK
C936728,P206466,2023.0,Yusuf Williams,Epsilon Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-04-06,2024-04-09,2025-05-30,2023-09-01,2024-09-01,941512,0,0,941512.0,0.0,941512.0,OK,OK,OK,OK,OK
C741730,P908516,2023.0,Ethan Brown,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-04-06,2024-04-09,2025-05-30,2023-09-01,2024-09-01,941512,0,0,941512.0,0.0,941512.0,OK,OK,OK,OK,OK
C255411,P179017,2024.0,Isla Gupta,Lambda Insurance Group,Marine,6,Marine Cargo,61,Accidental Damage,2024-04-04,2024-04-09,2025-05-30,2024-03-28,2024-06-26,615752,0,0,615752.0,0.0,615752.0,OK,OK,OK,OK,OK
C859573,P329964,2023.0,Raj Roberts,Summit Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-12-31,2024-01-03,2025-05-30,2023-12-14,2024-12-13,119700,0,0,119700.0,0.0,119700.0,OK,OK,OK,OK,OK
C275075,P318639,2024.0,Ella Brown,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-02,2025-01-02,2025-06-10,2024-09-05,2025-08-04,0,0,13920,13920.0,0.0,13920.0,OK,OK,OK,OK,OK
C252313,P146713,2023.0,Fatima Khan,Pioneer Underwriters,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2023-09-04,2023-09-07,2025-06-10,2023-01-27,2024-01-26,0,0,104416,104416.0,0.0,104416.0,OK,OK,OK,OK,OK
C961470,P915344,2024.0,Leo Hughes,Iota Claims Ltd,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-04-22,2025-04-23,2025-06-10,2024-09-29,2025-07-28,0,0,225520,225520.0,0.0,225520.0,OK,OK,OK,OK,OK
C679914,P693441,2024.0,Fatima Hall,Beta Risk Partners,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-05,2025-02-06,2025-06-10,2024-02-29,2025-02-28,0,0,648904,648904.0,0.0,648904.0,OK,OK,OK,OK,OK
C486514,P237658,2023.0,Aarav Hughes,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-07-12,2024-07-17,2025-06-18,2023-10-09,2024-10-08,0,0,200812,200812.0,0.0,200812.0,OK,OK,OK,OK,OK
C643001,P752108,2024.0,Daniel Johnson,Taurus Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-05,2024-10-11,2025-06-05,2024-09-25,2024-10-24,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C936652,P422759,2024.0,Aisha Thompson,Taurus Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-10-05,2024-10-11,2025-06-05,2024-09-25,2024-10-24,0,0,30000,30000.0,0.0,30000.0,OK,OK,OK,OK,OK
C666762,P278597,2015.0,Yusuf Miller,Delta Coverage Ltd,Miscellaneous,12,Performance Bond,127,Own Damage,2015-11-02,2016-02-17,2025-06-10,2015-07-03,2016-07-02,0,0,278510,278510.0,222808.0,55702.0,OK,OK,OK,OK,OK
C802143,P650413,2025.0,Ella Lewis,Alpha Insurance Agency,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-14,2025-03-28,2025-06-16,2025-01-23,2026-01-22,0,0,73660,73660.0,0.0,73660.0,OK,OK,OK,CHECK,OK
C931800,P293753,2024.0,Fatima Ahmed,Kappa Brokers,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-02-04,2025-02-05,2025-06-11,2024-04-22,2025-04-21,104690,0,0,104690.0,0.0,104690.0,OK,OK,OK,OK,OK
C915732,P719687,2024.0,Yusuf Johnson,Lambda Insurance Group,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2024-12-20,2025-01-28,2025-06-16,2024-04-18,2025-04-17,0,0,76560,76560.0,0.0,76560.0,OK,OK,OK,OK,OK
C511766,P279703,2024.0,Aisha Williams,Broker One,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-22,2025-02-12,2025-06-16,2024-03-27,2025-03-26,0,0,241528,241528.0,0.0,241528.0,OK,OK,OK,OK,OK
C240900,P561862,2024.0,Yusuf Taylor,Broker Three,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-01-07,2025-01-13,2025-06-10,2024-06-05,2025-04-05,0,0,494060,494060.0,0.0,494060.0,OK,OK,OK,OK,OK
C680833,P964398,2024.0,Maya Begum,Theta Insurance,Motor Private,70,Motor Private Comprehensive,700,Own Damage,2025-03-19,2025-03-19,2025-06-10,2024-04-02,2025-04-01,0,0,55100,55100.0,0.0,55100.0,OK,OK,OK,OK,OK
